"word","...1.x","sem_group","...1.y","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H"
"abyss",249,0,46,3.9,1.51,21,4.85,2.41,20,4,2.68,21,4.33,1.51,6,3.73,1.53,15,5.12,2.8,8,4.67,2.23,12,3.91,2.88,11,4.1,2.6,10,3.83,1.72,6,3.93,1.49,15,4.8,2.82,10,4.9,2.08,10,4.43,2.79,14,3.14,2.41,7,3.86,1.77,7,3.93,1.44,14,4.57,2.82,14,5.5,0.84,6,3.42,2.57,12,4.78,2.77,9
"accident",136,10,61,2.55,1.25,42,4.93,2.56,43,3,2.11,48,2.55,1.22,22,2.55,1.32,20,4.2,2.51,15,5.32,2.54,28,4.22,2.71,18,2.27,1.2,30,2.52,1.29,21,2.57,1.25,21,4.94,2.58,18,4.92,2.6,25,3.33,2.35,33,2.27,1.22,15,2.36,1.29,25,2.82,1.19,17,5.08,2.7,24,4.74,2.42,19,2.85,2.31,26,3.18,1.89,22
"accordion",121,5,71,5.26,2.08,19,2.94,2.21,18,5.21,2.11,24,6,1.87,5,5,2.15,14,3.2,1.92,5,2.85,2.38,13,4.31,1.89,13,6.27,1.9,11,5.2,2.15,10,5.33,2.12,9,3.14,2.19,7,2.82,2.32,11,4.62,2.06,16,6.38,1.77,8,4.85,2.23,13,6.17,1.47,6,2.92,2.02,12,3,2.76,6,5.27,2.25,15,5.11,1.96,9
"act",35,11,105,5.64,1.71,22,4.19,2.29,21,6.11,2.03,18,6.17,2.64,6,5.4,1.3,15,3.86,2.27,7,4.36,2.37,14,6.44,2.4,9,5.88,1.73,8,5.5,1.83,14,5.86,1.68,7,4.11,2.67,9,4.25,2.09,12,6.2,2.35,10,6,1.69,8,6,1.47,14,5,2,8,4.67,3.39,6,4,1.81,15,5.7,2.21,10,6.62,1.77,8
"actor",142,7,113,6.15,1.27,20,4.35,2.28,20,5.64,1.99,22,6.14,1.35,7,6.15,1.28,13,4,1.94,9,4.64,2.58,11,5,3.1,6,5.88,1.45,16,6,1.25,10,6.33,1.41,9,3.75,2.31,8,4.75,2.26,12,5.8,2.08,15,5.29,1.89,7,6.45,1.37,11,5.78,1.09,9,4.5,2.43,12,4.12,2.17,8,5.64,2.29,11,5.64,1.75,11
"advantage",280,1,181,6.71,1.62,21,3.95,2.36,22,7.19,1.94,36,7.44,1.33,9,6.17,1.64,12,4.5,2.32,12,3.3,2.36,10,6.58,2.61,12,7.5,1.47,24,6.14,2.27,7,7.08,1.19,13,5.11,2.2,9,3.15,2.19,13,6.71,2.14,17,7.63,1.67,19,6.69,1.84,13,6.75,1.28,8,3.78,2.77,9,4.08,2.14,13,7.13,2.39,15,7.24,1.61,21
"analogy",18,9,392,5.24,2.07,21,3.95,2.27,19,5.33,2.12,36,5.5,2.56,8,5.08,1.8,13,3.6,1.67,5,4.07,2.5,14,4.55,2.62,11,5.68,1.82,25,5.54,2.33,13,4.75,1.58,8,4,2.34,12,3.86,2.34,7,5.3,2.32,20,5.38,1.93,16,4.82,2.18,11,5.7,1.95,10,4.09,2.59,11,3.75,1.91,8,5.27,2.16,22,5.43,2.14,14
"animal",147,13,427,7.06,1.95,18,4.3,2.7,20,5.72,2.32,18,6.25,2.49,8,7.7,1.16,10,4.43,2.64,7,4.23,2.83,13,5.64,2.29,11,5.86,2.54,7,6.55,2.21,11,7.86,1.21,7,5,3.12,9,3.73,2.28,11,5.91,2.26,11,5.43,2.57,7,6.67,2.27,12,7.83,0.75,6,3.92,2.71,12,4.88,2.75,8,6.11,2.85,9,5.33,1.73,9
"area",71,14,572,5.56,1.29,18,2.19,1.6,21,5.06,1.76,18,5.38,1.06,8,5.7,1.49,10,3,2,7,1.79,1.25,14,5,1.61,11,5.14,2.12,7,5.64,1.12,11,5.43,1.62,7,1.89,1.36,9,2.42,1.78,12,5.18,2.23,11,4.86,0.69,7,5.17,1.03,12,6.33,1.51,6,2,1.54,12,2.44,1.74,9,5.11,2.15,9,5,1.41,9
"arm",17,3,583,5.44,1.7,41,3.44,2.05,45,6.02,1.98,44,5,2.14,18,5.78,1.2,23,4.25,2.11,16,2.96,1.93,28,5.48,2.23,23,6.6,1.54,20,5.6,1.65,30,5,1.84,11,2.89,2.17,18,3.81,1.92,27,5.37,2,27,7.06,1.48,17,5.36,1.71,22,5.53,1.74,19,2.7,2.2,20,4.04,1.74,25,5.89,1.97,35,6.56,2.07,9
